X,Y
42,66
25,83
16,22
15,37
52,92
70,16
29,51
26,26
36,94
58,72
6,46
13,35
61,55
37,31
65,31
39,63
5,17
36,48
26,22
54,42
15,77
19,45
45,31
43,55
48,24
9,79
11,69
52,94
66,18
54,92
14,44
42,58
37,99
11,43
5,69
59,79
21,69
45,103
6,70
43,21
26,98
15,63
12,60
55,101
17,57
56,82
21,85
45,73
26,66
54,90
49,85
19,65
67,31
26,52
5,67
5,21
12,18
25,85
16,26
50,48
22,48
67,41
31,37
52,52
20,62
33,71
14,48
34,42
14,84
37,49
19,93
20,46
29,85
39,49
8,28
48,92
52,40
37,75
17,75
47,27
71,31
4,18
39,21
52,36
23,21
28,84
37,65
9,35
63,65
37,21
27,53
27,91
10,22
24,86
59,59
72,18
14,76
30,102
18,62
15,17
14,38
50,62
38,98
7,41
56,98
35,53
21,43
32,22
68,28
32,42
33,39
55,71
34,88
43,35
8,66
4,50
60,40
39,33
42,82
20,74
49,67
11,79
19,41
19,23
65,57
25,21
53,17
40,28
57,39
23,51
10,20
60,24
72,26
16,44
69,29
31,39
41,19
34,24
6,72
50,56
17,27
44,18
49,71
22,22
33,21
54,26
6,62
37,101
38,20
36,76
28,26
56,66
4,66
13,55
15,97
51,45
32,26
30,22
45,63
6,74
47,35
24,32
58,56
14,56
16,52
32,76
70,20
36,86
38,32
56,42
33,77
12,34
53,27
12,48
48,36
20,88
40,22
14,82
42,68
49,89
21,93
51,33
16,32
27,49
36,88
12,72
55,81
55,45
62,52
19,77
62,24
29,69
68,68
17,35
28,102
27,97
10,30
9,63
33,33
15,71
18,74
21,95
57,59
41,85
70,38
23,73
67,27
52,26
34,36
15,75
53,61
37,85
23,71
45,61
71,33
8,20
26,50
29,43
59,69
37,41
40,24
29,67
36,62
58,94
61,47
19,73
58,50
25,95
11,77
41,33
50,96
49,49
14,70
33,35
62,22
62,20
63,57
43,95
46,94
36,42
8,64
23,89
43,61
29,73
23,25
12,46
17,67
14,22
29,71
38,78
64,60
45,35
55,29
10,38
27,85
37,93
40,48
7,35
38,50
66,40
46,24
22,96
56,62
57,73
27,37
23,33
28,44
26,28
39,87
68,32
39,99
8,58
52,102
9,85
40,66
27,57
39,17
6,18
24,80
59,51
18,80
24,20
39,83
43,73
41,27
59,81
52,20
56,24
5,29
50,54
21,75
43,97
28,80
27,51
38,48
39,101
14,36
19,31
38,60
21,45
33,37
4,40
48,98
25,47
59,43
66,52
42,30
18,42
14,50
31,85
